epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,205.675,1.5338,2.36239,1.69,0.46154,0.40224,0.33415,0.15955,1.92469,2.20065,2.38223,0.000664975,0.000664975,0.000664975
2,403.285,1.52486,1.9951,1.69194,0.46627,0.43641,0.37174,0.18088,1.81062,2.41465,2.12817,0.0012877,0.0012877,0.0012877
3,595.537,1.49007,1.96424,1.66353,0.68964,0.48531,0.49836,0.26121,1.64565,1.7067,1.87425,0.00186642,0.00186642,0.00186642
4,789.842,1.41677,1.84428,1.60439,0.52922,0.43188,0.42605,0.23354,1.57618,1.963,1.81708,0.001802,0.001802,0.001802
5,985.45,1.34435,1.7437,1.55228,0.74829,0.47916,0.53778,0.29859,1.52129,1.53898,1.76101,0.001736,0.001736,0.001736
6,1181.3,1.30809,1.69179,1.52635,0.76458,0.49164,0.54909,0.30145,1.44654,1.49976,1.73936,0.00167,0.00167,0.00167
7,1377.68,1.27758,1.65248,1.49997,0.75883,0.52394,0.58559,0.32978,1.52902,1.38052,1.79318,0.001604,0.001604,0.001604
8,1571.08,1.25769,1.61684,1.48882,0.7811,0.54319,0.60557,0.38268,1.34672,1.26878,1.60371,0.001538,0.001538,0.001538
9,1764.82,1.23925,1.56917,1.46498,0.78458,0.54162,0.61431,0.37709,1.33589,1.27819,1.61651,0.001472,0.001472,0.001472
10,1957.13,1.22765,1.56023,1.45871,0.79308,0.49489,0.58922,0.36861,1.36245,1.33399,1.62498,0.001406,0.001406,0.001406
11,2153.47,1.20085,1.51895,1.44129,0.81895,0.55184,0.65193,0.43088,1.22857,1.16521,1.49563,0.00134,0.00134,0.00134
12,2353.1,1.17038,1.47821,1.42164,0.81754,0.55857,0.64703,0.42008,1.23368,1.17557,1.49407,0.001274,0.001274,0.001274
13,2548.4,1.176,1.4824,1.42465,0.84757,0.55298,0.66731,0.44167,1.24145,1.10814,1.49737,0.001208,0.001208,0.001208
14,2745.04,1.14783,1.44761,1.4082,0.79126,0.56545,0.64921,0.41998,1.26794,1.21788,1.52864,0.001142,0.001142,0.001142
15,2940.46,1.13608,1.42274,1.39704,0.85334,0.5803,0.67625,0.4493,1.18166,1.09992,1.44689,0.001076,0.001076,0.001076
16,3135.22,1.13064,1.40564,1.38824,0.82763,0.5943,0.69423,0.46775,1.19141,1.02553,1.44218,0.00101,0.00101,0.00101
17,3328.33,1.11646,1.39578,1.38285,0.84405,0.58771,0.68917,0.4595,1.2051,1.04063,1.45258,0.000944,0.000944,0.000944
18,3522.95,1.09998,1.36944,1.36925,0.85255,0.59727,0.70157,0.48944,1.13454,0.97259,1.41475,0.000878,0.000878,0.000878
19,3716.95,1.09465,1.35589,1.36556,0.85474,0.5921,0.70026,0.47913,1.16157,1.00804,1.42171,0.000812,0.000812,0.000812
20,3909.72,1.07641,1.32786,1.35133,0.85226,0.60616,0.70312,0.47858,1.16303,0.9991,1.42767,0.000746,0.000746,0.000746
21,4095.5,1.17994,1.27433,1.45498,0.85827,0.59394,0.70829,0.48628,1.13787,0.96299,1.42637,0.00068,0.00068,0.00068
22,4275.8,1.15184,1.23966,1.42986,0.89011,0.59146,0.72188,0.50096,1.11177,0.93333,1.39167,0.000614,0.000614,0.000614
23,4458.36,1.12801,1.18713,1.41438,0.86909,0.6089,0.72678,0.51662,1.08257,0.89554,1.37966,0.000548,0.000548,0.000548
24,4641.64,1.1226,1.1671,1.40648,0.84572,0.62968,0.73094,0.519,1.09104,0.86003,1.38167,0.000482,0.000482,0.000482
25,4823.95,1.09319,1.12489,1.38827,0.79828,0.65628,0.7272,0.52072,1.05571,0.88012,1.36012,0.000416,0.000416,0.000416
26,5004.67,1.08368,1.10014,1.37791,0.86265,0.63134,0.73754,0.52544,1.07317,0.84967,1.3681,0.00035,0.00035,0.00035
27,5185.73,1.0587,1.07226,1.36383,0.8382,0.65505,0.74656,0.53399,1.05254,0.83445,1.34614,0.000284,0.000284,0.000284
28,5367.61,1.04942,1.05335,1.35313,0.85077,0.64915,0.74644,0.53565,1.05999,0.83623,1.35181,0.000218,0.000218,0.000218
29,5549.5,1.03213,1.03213,1.34105,0.8642,0.64381,0.74832,0.5387,1.02942,0.80411,1.32935,0.000152,0.000152,0.000152
30,5729.88,1.01864,1.00415,1.33217,0.84099,0.65937,0.74826,0.53988,1.04467,0.8094,1.33656,8.6e-05,8.6e-05,8.6e-05
